user_id,reading_id,performance_id,relative_difficulty,unknown_count,unique_word_count
30,2,sQWZE7kKwxBwqdC7E,0,0,77
30,3,8ccRoj4tEab9skWhk,0,0,141
30,4,BkZbSsTBFYNn2YbC3,0,0,169
30,5,NvC4wbT8A8Lk2ebS8,0,0,211
30,6,LRgN3i33MwNPzojQP,0,0,185
31,0,aJeK599Dh5rXY9PE2,0.025,1,40
31,1,6x5oAEBef5vAqCt65,0.064935065,5,77
31,2,qWkEhtgLLkvnFdsCD,0.014184397,2,141
31,3,GZz7x5mNHEB9ZFBqz,0,0,169
31,4,aMPvWx2xhQi9RCZcZ,0.033175355,7,211
31,5,Bo3oEWpHGBWN7jozG,0,0,185
31,6,Zb9KGZ4WLKbnH4Yom,0.033980583,7,206
32,0,K5qhDADEreDgfFswS,0,0,40
32,1,cKhJfcvuZZkP6stNE,0,0,77
32,2,Wq69uGxgBbKmhKdXc,0,0,141
32,3,BAEPrgv6tPQswXafn,0,0,169
32,4,niXCRDYiYtrKk94fc,0,0,211
32,5,24tQijPLDEhQaW23r,0,0,185
32,6,uc7tzpo4vHbZjPDxD,0,0,206
33,0,Nf8SfEwthriRuGw9x,0,0,40
33,1,tYDuPiLWYC6gtwzpb,0,0,77
33,2,wcAEPmTcuMudQSnQJ,0.014184397,2,141
33,3,Xh8QX7mj26EAZNYcz,0.00591716,1,169
33,4,yhS5L328GSQWhNB3k,0.014218009,3,211
33,5,CFRHWgN5mncHTWs52,0.027027027,5,185
33,6,6k24ZAEkRfHyJNjhd,0.004854369,1,206
34,0,fv7RtzAvvJ4NzaHy8,0,0,40
34,1,XeJqYMA92nAWEQeF6,0,0,77
34,2,LgWkFFqks9uudqjZZ,0.007092199,1,141
34,3,aN6yBe46nunaWpPSo,0.029585799,5,169
34,4,yXh8dpCAYQw76xm2S,0.042654028,9,211
34,5,ez27rkyuXDi2fs7BT,0,0,185
34,6,kF6egTGhsy56sphvE,0.009708738,2,206
35,0,CwaBk3kLnskJJxcxx,0.025,1,40
35,1,Nu7k8pK86WvWc8egj,0.025974026,2,77
35,2,DqmyCA4GCPtL9fZfs,0.085106383,12,141
35,3,PrumBSZpcpeyda6sa,0.053254438,9,169
35,4,kcH7NkkKSHrdyNr2G,0.047393365,10,211
35,5,TCWuS934WDNvAPokK,0.140540541,26,185
35,6,kKG4Eg7LKSCLn8vCb,0.101941748,21,206
36,0,ubjXJBZ5WmqAGBSvJ,0.05,2,40
36,1,c5ZoKA2jYY3D9sqoh,0.025974026,2,77
36,2,LgG5sQRaE5GjMgNze,0.042553191,6,141
36,3,muPu4fXY3Y7GpTHah,0.041420118,7,169
36,4,Xo67w7dDAuTnRf8Qa,0.042654028,9,211
36,5,Gw2Y6axtoZe4CeBE5,0.07027027,13,185
36,6,j6kiGBCX826NHgLsT,0.053398058,11,206
37,0,eFHPsZ3AR72GA8c7Y,0.025,1,40
37,1,KZ2tFNvRBAo5chq55,0.012987013,1,77
37,2,gDtyF6o9AueZoMB2n,0.014184397,2,141
37,3,9TLcgp4hadoxAsNbw,0.029585799,5,169
37,4,t5WxQwbiTKnoWPJZi,0.08056872,17,211
37,5,dGwRQuhfrEtAmJveA,0.032432432,6,185
37,6,fxqCtsZ5vgRxc3SZz,0.048543689,10,206
38,0,hP5BqyqmE7eZXRyYX,0.025,1,40
38,1,Mk8cxHgHMyiu7KMMW,0.025974026,2,77
38,2,zfBynuTanXvx4i8QH,0.007092199,1,141
38,3,32HLcWkr48k729cet,0.023668639,4,169
38,4,QKSh4kYGhhrAjrCmu,0.028436019,6,211
38,5,q6Fs3BwhcmaMFHeGC,0.027027027,5,185
38,6,H3t5PbvaMYus4W9jM,0.048543689,10,206
39,0,u8arzGo3dH3oFT4Yu,0,0,40
39,1,vsvbRFKFKCmPHLsBe,0.012987013,1,77
39,2,hhtJWJtaxNgKiHvBH,0.007092199,1,141
39,3,JH3wYFmpD77b35vLR,0.017751479,3,169
39,4,P6dH2kdTPiqmQQgn6,0.033175355,7,211
39,5,EKuwnC9qr4KoPQWjC,0.010810811,2,185
39,6,Ffyg5Ms7PMBn89ifa,0.009708738,2,206
40,0,sdgrrYJTFocEMyaLu,0.025,1,40
40,1,M3swQdH6fcvbz39oZ,0,0,77
40,2,su6N8Xhc4wex7Q7oc,0.014184397,2,141
40,3,jNyAN5QC9jksYmies,0.047337278,8,169
40,4,X69KcBzpndXiCx6v4,0.037914692,8,211
40,5,2uGZTsiFE87JHh3Wa,0.032432432,6,185
40,6,8Rp2jhQYBzr5nFczw,0.072815534,15,206
41,0,LiiWpuTvnmvWWrq5h,0.025,1,40
41,1,X3vkcRoxeErWK4cSS,0.038961039,3,77
41,2,8q3uqM7Bt2cuSXYX5,0.007092199,1,141
41,3,mc6ifbGsq2paXad8f,0.00591716,1,169
41,4,ir6AB63JRfMoKRttN,0.023696682,5,211
41,5,jPRpu9RYRsLCJ3Hc2,0.059459459,11,185
41,6,yrxeYstg2WE6o6LHm,0.058252427,12,206
42,0,cMXQTxNbCsqfTqEk7,0.025,1,40
42,1,FfHnshmCb5uBFDJGH,0.038961039,3,77
42,2,RmB7euBpgpBjTFhpj,0.014184397,2,141
42,3,hkP7FZ3Yd9zHttgqr,0.029585799,5,169
42,4,5DNDerbb2Ztf9AtxL,0.018957346,4,211
42,5,67PKNM3eRAJJk8at8,0.075675676,14,185
42,6,aNWszqrjg5uaXB57J,0.04368932,9,206
43,0,FTuxXZ9jjWJFjyCEW,0.025,1,40
43,1,QMmp7xsojLG3LYfCM,0.077922078,6,77
43,2,w5fDZ4mEs8kJcEFyH,0.042553191,6,141
43,3,MF4TwENzZ9tqxgZRW,0.136094675,23,169
43,4,rymgPjmrKr7Kum6rp,0.047393365,10,211
43,5,Kqt7Hrm8nZh3Y9E3y,0.043243243,8,185
43,6,JqDf9XK6axAnfDKrD,0.038834951,8,206
44,0,pXsBX8XouEZjBfZAu,0,0,40
44,1,pN7d2qkqX4n3RPnCf,0,0,77
44,2,bxiMnMhGpbsuef3gL,0,0,141
44,3,kvJLntJgBmS65XC3f,0,0,169
44,4,ZB2DNQH3apeLrxE5S,0,0,211
44,5,4Go5QMMoJkjJJviL5,0,0,185
44,6,55wPKaxES4vPc7bma,0,0,206
45,0,c2FsgqFky7QrMLTnS,0.025,1,40
45,1,4NToZvvuq3ttdnHQk,0.025974026,2,77
45,2,rTLe4EDawdu9zWb7p,0.028368794,4,141
45,3,eRKcY6jND55KiDkoK,0.047337278,8,169
45,4,9Z9se2gNKuetgLJh7,0.075829384,16,211
45,5,5S3NRbnfjkq4jkTaJ,0.027027027,5,185
45,6,rnnsMp4n38J5PPHhn,0.038834951,8,206
46,0,abozBucpnbvh87N3M,0,0,40
46,1,F7XJx8zL78C7XTfzj,0,0,77
46,2,pGrcEqYNk4LCQshcX,0.021276596,3,141
46,3,hnZgoZikuXkAGrG4o,0.023668639,4,169
46,4,SKdNniTi7AqLXmScg,0.023696682,5,211
46,5,3cLJ9QjscH66R3i82,0.010810811,2,185
46,6,2238eyduJzWLjXFAo,0.004854369,1,206
47,0,7o5pgHmHsiqzCtR52,0,0,40
47,1,gqPRyyqNuPGfFBq7z,0.012987013,1,77
47,2,aWb2Km7EyXDoaaiNS,0.021276596,3,141
47,3,JZRkNKiBKWoDesBPX,0.017751479,3,169
47,4,aTHLFHfCerM3KT4LZ,0.014218009,3,211
47,5,HxFvmp7ByzvoZxJsB,0.032432432,6,185
47,6,WWzpzvW6Z8K97tgSS,0.033980583,7,206
48,0,AEAdzhm2PYSAYLqjS,0,0,40
48,1,HWAbMabmRzSiNHf8Q,0,0,77
