user_id,reading_id,performance_id,relative_difficulty,unknown_count,unique_word_count,total_count,flesch_kincaid
33,6,6k24ZAEkRfHyJNjhd,0.0048543689320388345,1,206,12,69.75
34,0,fv7RtzAvvJ4NzaHy8,0.0,0,40,17,124.4
34,1,XeJqYMA92nAWEQeF6,0.0,0,77,17,89.75
34,2,LgWkFFqks9uudqjZZ,0.0070921985815602835,1,141,17,61.22
34,3,aN6yBe46nunaWpPSo,0.029585798816568046,5,169,17,60.31
34,4,yXh8dpCAYQw76xm2S,0.04265402843601896,9,211,17,67.15
34,5,ez27rkyuXDi2fs7BT,0.0,0,185,17,64.71
34,6,kF6egTGhsy56sphvE,0.009708737864077669,2,206,17,69.75
35,0,CwaBk3kLnskJJxcxx,0.025,1,40,81,124.4
35,1,Nu7k8pK86WvWc8egj,0.025974025974025976,2,77,81,89.75
35,2,DqmyCA4GCPtL9fZfs,0.0851063829787234,12,141,81,61.22
35,3,PrumBSZpcpeyda6sa,0.05325443786982249,9,169,81,60.31
35,4,kcH7NkkKSHrdyNr2G,0.04739336492890995,10,211,81,67.15
35,5,TCWuS934WDNvAPokK,0.14054054054054055,26,185,81,64.71
35,6,kKG4Eg7LKSCLn8vCb,0.10194174757281553,21,206,81,69.75
36,0,ubjXJBZ5WmqAGBSvJ,0.05,2,40,50,124.4
36,1,c5ZoKA2jYY3D9sqoh,0.025974025974025976,2,77,50,89.75
36,2,LgG5sQRaE5GjMgNze,0.0425531914893617,6,141,50,61.22
36,3,muPu4fXY3Y7GpTHah,0.04142011834319527,7,169,50,60.31
36,4,Xo67w7dDAuTnRf8Qa,0.04265402843601896,9,211,50,67.15
36,5,Gw2Y6axtoZe4CeBE5,0.07027027027027027,13,185,50,64.71
36,6,j6kiGBCX826NHgLsT,0.05339805825242718,11,206,50,69.75
37,0,eFHPsZ3AR72GA8c7Y,0.025,1,40,42,124.4
37,1,KZ2tFNvRBAo5chq55,0.012987012987012988,1,77,42,89.75
37,2,gDtyF6o9AueZoMB2n,0.014184397163120567,2,141,42,61.22
37,3,9TLcgp4hadoxAsNbw,0.029585798816568046,5,169,42,60.31
